Nombre;;Population.totale.d.enfants.ages.de.5.a.17ans;Enfants.economiquement.occupes;enfants.dans.le.travail.des.enfants;enfants.dans.les.travaux.dangereux
groupe.d.age;[5,12];357 200;76 500;76 400;45 000
;[13,15];1 551 700;63 600;51 200;39 200
;[16,17];364 300;75 500;52 300;52 300
sexe;garcon;1 175 400;130 700;113 800;86 800
;fille;1 097 800;85 000;66 100;49 700
milieu;communal;1 489 600;70 900;56 700;43 100
;non.communal;783 600;144 800;123 200;93 400
region;Grand.tunis;478 300;32 100;25 900;19 300
;Nord-Est;314 900;23 000;17 900;13 500
;Nord-Ouest;227 200;67 800;63 000;55 900
;Centre-Est;580 900;29 800;22 600;17 200
;Centre-Ouest;330 500;51 800;41 600;23 000
;Sud-Est;220 300;8 200;6 500;5 400
;Sud-Ouest;121 100;2 900;2 400;2 200
Total;;2 273 200;215 700;179 900;136 500
